,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\1example.jpg,1
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\2example.jpg,8
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\3example.jpg,11
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\4example.jpg,3
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\5example.jpg,3
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\6example.jpg,4
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\7example.jpg,1
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\8example.jpg,3
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\9example.jpg,23
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\10example.jpg,11
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\11example.jpg,3
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\12example.jpg,3
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\13example.jpg,1
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\14example.jpg,11
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\15example.jpg,3
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\16example.jpg,9
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\17example.jpg,1
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\18example.jpg,8
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\19example.jpg,11
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\20example.jpg,0
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\21example.jpg,1
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\22example.jpg,8
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\23example.jpg,3
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\24example.jpg,3
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\25example.jpg,0
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\26example.jpg,11
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\27example.jpg,1
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\28example.jpg,3
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\29example.jpg,11
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\30example.jpg,11
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\31example.jpg,11
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\32example.jpg,11
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\33example.jpg,1
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\34example.jpg,3
34,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\35example.jpg,11
35,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\36example.jpg,1
36,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\37example.jpg,2
37,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\38example.jpg,11
38,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\39example.jpg,8
39,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\40example.jpg,11
40,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\41example.jpg,2
41,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\42example.jpg,3
42,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\43example.jpg,5
43,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\44example.jpg,1
44,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\45example.jpg,4
45,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\46example.jpg,11
46,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\47example.jpg,5
47,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\48example.jpg,3
48,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\49example.jpg,11
49,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\50example.jpg,4
50,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\51example.jpg,9
51,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\52example.jpg,5
52,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\53example.jpg,2
53,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\54example.jpg,3
54,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\55example.jpg,9
55,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\56example.jpg,3
56,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\57example.jpg,1
57,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\58example.jpg,1
58,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\59example.jpg,1
59,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\60example.jpg,11
60,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\61example.jpg,1
61,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\62example.jpg,1
62,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\63example.jpg,11
63,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\64example.jpg,0
64,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\65example.jpg,3
65,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\66example.jpg,1
66,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\67example.jpg,11
67,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\68example.jpg,1
68,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\69example.jpg,0
69,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\70example.jpg,1
70,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\71example.jpg,23
71,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\72example.jpg,1
72,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\73example.jpg,1
73,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\74example.jpg,11
74,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\75example.jpg,3
75,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\76example.jpg,11
76,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\77example.jpg,11
77,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\78example.jpg,11
78,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\79example.jpg,1
79,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\80example.jpg,2
80,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\81example.jpg,11
81,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\82example.jpg,2
82,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\83example.jpg,1
83,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\84example.jpg,3
84,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\85example.jpg,3
85,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\86example.jpg,1
86,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\87example.jpg,3
87,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\88example.jpg,3
88,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\89example.jpg,11
89,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\90example.jpg,11
90,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\91example.jpg,1
91,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\92example.jpg,8
92,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\93example.jpg,1
93,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\94example.jpg,1
94,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\95example.jpg,9
95,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\96example.jpg,9
96,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\97example.jpg,11
97,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\98example.jpg,23
