,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\i0example.jpg,33
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i1example.jpg,30
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\i2example.jpg,33
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i3example.jpg,30
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\i4example.jpg,33
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i5example.jpg,30
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\i6example.jpg,33
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i7example.jpg,30
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i8example.jpg,30
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i9example.jpg,1
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i10example.jpg,1
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\i11example.jpg,2
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i12example.jpg,1
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i13example.jpg,1
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i14example.jpg,1
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\i15example.jpg,2
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i16example.jpg,1
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\i17example.jpg,2
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i18example.jpg,1
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i19example.jpg,10
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i20example.jpg,1
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i21example.jpg,10
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i22example.jpg,1
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i23example.jpg,10
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i24example.jpg,1
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i25example.jpg,30
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i26example.jpg,10
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i27example.jpg,1
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\i28example.jpg,30
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i29example.jpg,10
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i30example.jpg,1
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i31example.jpg,10
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i32example.jpg,1
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i33example.jpg,1
34,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i34example.jpg,1
35,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i35example.jpg,1
36,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i36example.jpg,1
37,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i37example.jpg,1
38,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i38example.jpg,1
39,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i39example.jpg,1
40,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i40example.jpg,1
41,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i41example.jpg,1
42,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i42example.jpg,1
43,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i43example.jpg,1
44,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i44example.jpg,1
45,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i45example.jpg,10
46,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i46example.jpg,10
47,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i47example.jpg,1
48,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i48example.jpg,10
49,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i49example.jpg,1
50,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\i50example.jpg,10
51,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\i51example.jpg,1
