,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ballerTV_0example.jpg,33
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_1example.jpg,30
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ballerTV_2example.jpg,33
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_3example.jpg,30
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ballerTV_4example.jpg,33
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_5example.jpg,30
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ballerTV_6example.jpg,33
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_7example.jpg,30
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_8example.jpg,30
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_9example.jpg,1
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_10example.jpg,1
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_11example.jpg,2
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_12example.jpg,1
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_13example.jpg,1
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_14example.jpg,1
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_15example.jpg,2
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_16example.jpg,1
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_17example.jpg,2
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_18example.jpg,1
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_19example.jpg,10
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_20example.jpg,1
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_21example.jpg,10
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_22example.jpg,1
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_23example.jpg,10
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_24example.jpg,1
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_25example.jpg,30
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_26example.jpg,10
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_27example.jpg,1
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\30\ballerTV_28example.jpg,30
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_29example.jpg,10
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_30example.jpg,1
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\10\ballerTV_31example.jpg,10
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_32example.jpg,1
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_33example.jpg,1
