,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_1example.jpg,1
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_2example.jpg,8
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_3example.jpg,11
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_4example.jpg,3
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_5example.jpg,3
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\ballerTV_6example.jpg,4
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_7example.jpg,1
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_8example.jpg,3
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\ballerTV_9example.jpg,23
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_10example.jpg,11
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_11example.jpg,3
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_12example.jpg,3
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_13example.jpg,1
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_14example.jpg,11
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_15example.jpg,3
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_16example.jpg,9
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_17example.jpg,1
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_18example.jpg,8
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_19example.jpg,11
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ballerTV_20example.jpg,0
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_21example.jpg,1
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_22example.jpg,8
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_23example.jpg,3
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_24example.jpg,3
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ballerTV_25example.jpg,0
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_26example.jpg,11
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_27example.jpg,1
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_28example.jpg,3
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_29example.jpg,11
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_30example.jpg,11
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_31example.jpg,11
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_32example.jpg,11
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_33example.jpg,1
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_34example.jpg,3
34,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_35example.jpg,11
35,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_36example.jpg,1
36,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_37example.jpg,2
37,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_38example.jpg,11
38,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_39example.jpg,8
39,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_40example.jpg,11
40,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_41example.jpg,2
41,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_42example.jpg,3
42,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ballerTV_43example.jpg,5
43,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_44example.jpg,1
44,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\ballerTV_45example.jpg,4
45,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_46example.jpg,11
46,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ballerTV_47example.jpg,5
47,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_48example.jpg,3
48,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_49example.jpg,11
49,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\4\ballerTV_50example.jpg,4
50,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_51example.jpg,9
51,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ballerTV_52example.jpg,5
52,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_53example.jpg,2
53,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_54example.jpg,3
54,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_55example.jpg,9
55,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_56example.jpg,3
56,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_57example.jpg,1
57,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_58example.jpg,1
58,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_59example.jpg,1
59,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_60example.jpg,11
60,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_61example.jpg,1
61,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_62example.jpg,1
62,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_63example.jpg,11
63,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ballerTV_64example.jpg,0
64,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_65example.jpg,3
65,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_66example.jpg,1
66,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_67example.jpg,11
67,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_68example.jpg,1
68,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ballerTV_69example.jpg,0
69,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_70example.jpg,1
70,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\ballerTV_71example.jpg,23
71,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_72example.jpg,1
72,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_73example.jpg,1
73,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_74example.jpg,11
74,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_75example.jpg,3
75,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_76example.jpg,11
76,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_77example.jpg,11
77,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_78example.jpg,11
78,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_79example.jpg,1
79,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_80example.jpg,2
80,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_81example.jpg,11
81,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_82example.jpg,2
82,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_83example.jpg,1
83,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_84example.jpg,3
84,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_85example.jpg,3
85,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_86example.jpg,1
86,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_87example.jpg,3
87,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_88example.jpg,3
88,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_89example.jpg,11
89,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_90example.jpg,11
90,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_91example.jpg,1
91,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_92example.jpg,8
92,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_93example.jpg,1
93,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_94example.jpg,1
94,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_95example.jpg,9
95,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_96example.jpg,9
96,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_97example.jpg,11
97,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\23\ballerTV_98example.jpg,23
98,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\ballerTV_99example.jpg,3
99,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\8\ballerTV_100example.jpg,8
100,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_101example.jpg,9
101,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_102example.jpg,9
102,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ballerTV_103example.jpg,0
103,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ballerTV_104example.jpg,11
104,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\2\ballerTV_105example.jpg,2
105,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_106example.jpg,1
106,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\ballerTV_107example.jpg,1
107,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ballerTV_108example.jpg,9
