,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_0example.jpg,1
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_1example.jpg,3
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_2example.jpg,1
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_3example.jpg,3
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_4example.jpg,1
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_5example.jpg,3
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_6example.jpg,1
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_7example.jpg,3
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_8example.jpg,1
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_9example.jpg,11
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_10example.jpg,3
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_11example.jpg,1
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_12example.jpg,1
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_13example.jpg,3
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_14example.jpg,1
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_15example.jpg,11
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_16example.jpg,3
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_17example.jpg,1
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_18example.jpg,3
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_19example.jpg,11
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_20example.jpg,1
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_21example.jpg,11
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_22example.jpg,3
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_23example.jpg,1
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_24example.jpg,11
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_25example.jpg,3
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_26example.jpg,1
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_27example.jpg,3
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_28example.jpg,11
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_29example.jpg,1
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_30example.jpg,9
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_31example.jpg,11
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_32example.jpg,3
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_33example.jpg,1
34,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_34example.jpg,9
35,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_35example.jpg,11
36,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_36example.jpg,3
37,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_37example.jpg,1
38,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_38example.jpg,9
39,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_39example.jpg,11
40,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_40example.jpg,3
41,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_41example.jpg,1
42,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_42example.jpg,9
43,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_43example.jpg,11
44,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_44example.jpg,3
45,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_45example.jpg,1
46,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_46example.jpg,9
47,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_47example.jpg,11
48,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_48example.jpg,3
49,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_49example.jpg,1
50,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_50example.jpg,9
51,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_51example.jpg,11
52,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_52example.jpg,3
53,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\1\basketball_53example.jpg,1
54,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_54example.jpg,9
55,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_55example.jpg,11
56,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_56example.jpg,3
57,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_57example.jpg,9
58,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_58example.jpg,11
59,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_59example.jpg,3
60,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_60example.jpg,9
61,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_61example.jpg,11
62,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\3\basketball_62example.jpg,3
63,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_63example.jpg,9
64,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_64example.jpg,11
65,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_65example.jpg,11
66,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_66example.jpg,9
67,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_67example.jpg,11
68,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\basketball_68example.jpg,9
69,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\basketball_69example.jpg,11
