,file_name,text
0,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ncaa_0example.jpg,11
1,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_1example.jpg,0
2,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ncaa_2example.jpg,33
3,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_3example.jpg,12
4,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_4example.jpg,9
5,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\11\ncaa_5example.jpg,11
6,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_6example.jpg,0
7,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\33\ncaa_7example.jpg,33
8,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_8example.jpg,12
9,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_9example.jpg,9
10,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_10example.jpg,9
11,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_11example.jpg,0
12,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_12example.jpg,12
13,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_13example.jpg,5
14,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_14example.jpg,0
15,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_15example.jpg,12
16,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_16example.jpg,5
17,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_17example.jpg,0
18,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_18example.jpg,12
19,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_19example.jpg,5
20,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_20example.jpg,0
21,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_21example.jpg,12
22,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_22example.jpg,5
23,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\7\ncaa_23example.jpg,7
24,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_24example.jpg,12
25,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\7\ncaa_25example.jpg,7
26,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_26example.jpg,12
27,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\7\ncaa_27example.jpg,7
28,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_28example.jpg,12
29,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_29example.jpg,12
30,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_30example.jpg,5
31,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_31example.jpg,12
32,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_32example.jpg,5
33,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_33example.jpg,12
34,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_34example.jpg,5
35,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_35example.jpg,9
36,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_36example.jpg,5
37,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_37example.jpg,12
38,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_38example.jpg,9
39,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_39example.jpg,0
40,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_40example.jpg,5
41,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_41example.jpg,12
42,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_42example.jpg,9
43,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_43example.jpg,0
44,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_44example.jpg,5
45,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_45example.jpg,12
46,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_46example.jpg,9
47,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\0\ncaa_47example.jpg,0
48,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_48example.jpg,5
49,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_49example.jpg,12
50,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_50example.jpg,9
51,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_51example.jpg,5
52,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_52example.jpg,12
53,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_53example.jpg,9
54,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_54example.jpg,12
55,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\5\ncaa_55example.jpg,5
56,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\9\ncaa_56example.jpg,9
57,C:\Users\Mytre\OneDrive\Документы\Data\Work\crops\12\ncaa_57example.jpg,12
